edge_id,source_node,destination_node,weight
216,1478,285,51
217,92,1491,60
218,1419,1557,77
219,979,302,32
220,1954,55,24
221,1889,211,70
222,307,1371,96
223,1556,1978,63
224,176,1213,78
225,51,1637,6
226,1261,200,62
227,1474,1725,14
228,1847,620,78
229,1926,958,52
230,176,1851,39
231,75,198,41
232,1220,1809,70
233,1508,1377,22
234,1676,1296,73
235,1367,479,18
236,34,1286,20
237,1788,1951,23
238,90,1286,12
239,938,210,16
240,547,28,28
241,410,553,77
242,20,1492,71
243,523,416,29
244,1299,964,48
245,1733,1889,16
246,1561,1066,35
247,44,274,63
248,1367,1122,76
249,177,358,64
250,1222,330,99
251,925,678,33
252,1022,1275,67
253,717,1659,11
254,1735,248,6
255,1429,1040,48
256,1444,482,8
257,931,428,68
258,1452,1217,87
259,997,1795,99
260,540,745,9
261,280,1088,33
262,1748,932,72
263,281,1159,50
264,1283,1559,97
265,1037,1354,83
266,248,251,29
267,1796,1449,93
268,943,1139,46
269,919,1991,61
270,11,465,18
271,58,1418,48
272,324,873,71
273,343,1536,35
274,645,1270,24
275,279,138,93
276,853,705,50
277,716,680,64
278,219,1341,7
279,199,862,86
280,1981,763,93
281,1077,1762,80
282,621,357,96
283,549,970,62
284,1101,1899,13
285,1251,1686,37
286,317,1558,44
287,1527,1113,51
288,1572,912,92
289,479,866,47
290,1857,613,75
291,1625,1645,69
292,1813,1017,83
293,1166,900,52
294,311,547,90
295,1361,1402,49
296,429,1362,77
297,1537,1109,49
298,1341,1903,75
299,1753,287,13
300,9,1524,80
301,1388,163,35
302,762,1858,52
303,1451,237,44
304,1448,746,70
305,678,1239,12
306,1097,996,85
307,1456,213,38
308,846,136,11
309,296,1058,24
310,837,977,22
311,930,1533,46
312,1781,276,6
313,1360,684,68
314,648,1220,12
315,1109,1082,8
316,1176,1624,33
317,88,665,55
318,1307,1353,44
319,151,228,37
320,758,1722,21
321,523,1601,25
322,1379,1586,90
323,196,1608,73
324,436,1824,90
325,1578,458,78
326,410,1379,83
327,181,1914,53
328,1384,1845,55
329,1828,1919,10
330,809,1702,9
331,1317,329,85
332,1477,306,57
333,575,1580,13
334,130,127,16
335,838,1457,41
336,1481,1094,53
337,1848,163,65
338,1849,1443,84
339,1998,995,51
340,1916,636,73
341,1264,15,18
342,1363,1969,88
343,873,1094,45
344,980,343,41
345,848,1910,52
346,1309,1519,84
347,1782,1907,13
348,1225,1555,9
349,1840,894,50
350,77,1529,72
351,470,116,60
352,1503,3,76
353,1513,1051,38
354,427,1988,36
355,1317,617,58
356,1812,1660,46
357,1339,101,28
358,150,1275,96
359,1793,1195,33
360,1393,1177,85
361,991,1839,15
362,1606,1353,97
363,1671,518,79
364,326,900,77
365,911,1989,62
366,78,764,80
367,1636,1420,14
368,706,949,34
369,283,1539,44
370,1593,1438,24
371,1735,1446,6
372,1784,847,46
373,1874,720,98
374,1723,684,16
375,1201,1254,36
376,1574,1865,33
377,1423,1304,16
378,1344,1964,89
379,1047,1871,15
380,1451,615,39
381,1760,638,95
382,1629,418,62
383,758,184,35
384,665,1396,51
385,735,719,71
386,796,1805,35
387,1780,980,79
388,855,1597,72
389,304,1261,71
390,1181,1724,56
391,226,1889,41
392,175,569,20
393,1894,507,45
394,753,1199,87
395,1080,193,86
396,36,1009,49
397,1664,1504,30
398,127,1049,46
399,1184,1320,54
400,1273,1226,19
401,1874,438,31
402,1523,1911,51
403,1204,1058,84
404,1203,986,67
405,1659,324,35
406,230,1227,73
407,1548,1403,22
408,1631,1050,21
409,637,114,36
410,938,723,42
411,1819,703,7
412,180,726,56
413,1267,1069,78
414,504,1894,97
415,104,646,48
416,647,483,27
417,919,1175,58
418,61,952,32
419,20,373,90
420,1907,121,46
421,38,1550,82
422,1516,681,45
423,241,634,26
424,323,281,25
425,1328,1338,38
426,1512,1445,37
427,1103,1450,97
428,1355,950,37
429,571,802,19
430,1080,508,66
431,970,951,92
432,381,362,36
433,257,1279,82
434,277,518,88
435,1221,839,30
436,142,1112,58
437,339,287,24
438,1239,934,50
439,1950,898,35
440,505,604,76
441,1714,55,58
442,1491,59,91
443,944,1244,71
444,1218,1918,96
445,1928,1831,70
446,1357,674,66
447,478,490,53
448,1598,948,97
449,886,592,19
450,1722,1713,71
451,1846,1039,83
452,1168,869,44
453,1595,1451,27
454,2,597,51
455,1092,529,70
456,1258,184,59
457,1169,412,31
458,1529,1983,68
459,693,1481,67
460,180,926,9
461,1658,29,60
462,1762,1301,62
463,177,1237,83
464,554,1810,70
465,1509,1383,23
466,1776,1726,66
467,1330,743,86
468,402,829,49
469,200,188,21
470,1125,610,84
471,547,1707,47
472,1354,84,22
473,1541,627,29
474,678,1852,63
475,575,1196,17
476,1680,1637,59
477,818,653,43
478,87,7,89
479,849,921,7
480,1518,1421,31
481,496,824,34
482,685,1528,80
483,1347,1975,92
484,1248,734,96
485,1432,1377,32
486,814,303,55
487,450,1036,91
488,28,657,62
489,36,574,41
490,79,116,21
491,1364,1791,46
492,949,151,95
493,1073,1651,54
494,216,1980,64
495,307,1785,5
496,668,1325,34
497,1134,1805,81
498,688,579,44
499,410,1561,32
500,191,1228,79
501,154,65,93
502,1120,11,37
503,1432,1080,57
504,280,87,80
505,1709,1761,84
506,1104,488,58
507,169,1464,43
508,1673,1925,33
509,1252,444,26
510,985,1532,38
511,938,567,5
512,397,1927,25
513,429,818,43
514,1553,1361,11
515,648,802,7
516,1908,1351,53
517,1102,417,41
518,632,829,16
519,756,1034,47
520,1408,333,73
521,203,692,45
522,172,311,54
523,251,144,98
524,1396,1082,62
525,855,616,29
526,711,21,98
527,1786,1019,87
528,1632,944,91
529,287,1964,50
530,899,1621,71
531,166,610,31
532,938,1026,20
533,507,1584,23
534,1246,1030,71
535,1961,1575,99
536,1228,169,59
537,1285,949,47
538,1604,1347,96
539,1579,123,94
540,1013,1435,11
541,364,1419,5
542,1760,787,36
543,913,601,17
544,1530,848,83
545,1696,1536,33
546,348,1965,42
547,5,1686,24
548,1008,1798,98
549,434,271,7
550,1455,1113,61
551,658,1693,28
552,1370,1379,42
553,1779,546,71
554,1329,463,20
555,249,263,31
556,45,522,27
557,804,600,32
558,1126,1873,99
559,310,1591,53
560,349,673,19
561,1561,855,80
562,1397,206,44
563,1575,1358,8
564,253,1068,32
565,1695,737,33
566,773,75,7
567,53,99,20
568,1376,1875,64
569,599,1259,28
570,723,113,23
571,1633,980,5
572,1069,1340,75
573,1444,740,69
574,611,957,50
575,1885,572,62
576,300,1888,30
577,1038,1568,39
578,927,454,75
579,89,1973,80
580,63,1524,73
581,592,660,77
582,1633,1595,56
583,606,1793,59
584,355,332,33
585,1990,158,43
586,1614,1618,64
587,1374,1134,78
588,326,994,99
589,971,883,76
590,853,1762,16
591,1974,1113,82
592,868,1415,27
593,100,1094,60
594,562,1305,44
595,262,805,63
596,1770,1136,22
597,453,1147,22
598,433,1041,95
599,410,329,24
600,1087,191,85
601,1884,344,8
602,1313,355,92
603,121,1091,56
604,186,1653,86
605,1586,799,63
606,1796,1264,49
607,870,1552,59
608,1090,3,40
609,1706,302,23
610,1045,56,59
611,1541,280,41
612,1044,889,67
613,1899,1554,8
614,1699,279,18
615,638,305,81
616,1141,869,48
617,1995,1216,9
618,810,1773,25
619,861,998,24
620,1033,1948,35
621,1353,847,13
622,328,1119,33
623,1696,646,11
624,776,1450,48
625,267,563,5
626,388,1891,18
627,1784,44,46
628,205,424,76
629,237,678,37
630,1369,800,94
631,1069,1663,57
632,544,1398,69
633,600,923,43
634,1304,75,26
635,83,1029,47
636,1398,298,66
637,1586,39,73
638,1080,1080,12
639,1552,1284,88
640,969,1552,45
641,1599,1444,24
642,1768,1581,33
643,256,1478,34
644,676,1512,77
645,1130,1051,93
646,169,1251,87
647,984,1678,73
648,156,464,93
649,1873,1804,71
650,1584,1722,93
651,118,1021,40
652,678,1146,85
653,1034,87,68
654,397,1989,40
655,1806,766,24
656,1746,1505,18
657,919,1733,95
658,340,1975,45
659,354,1200,49
660,1101,682,9
661,480,85,51
662,671,396,98
663,653,1361,45
664,144,181,27
665,1832,1732,60
666,635,1675,27
667,1316,1175,96
668,113,781,79
669,1480,704,56
670,1293,1220,15
671,1451,587,32
672,1149,1999,30
673,740,55,7
674,115,405,84
675,1178,852,39
676,1083,1229,47
677,802,1316,13
678,922,88,84
679,89,1435,48
680,229,423,72
681,1862,1033,79
682,791,1221,87
683,994,1774,94
684,125,956,24
685,1144,513,58
686,131,1251,93
687,1550,167,13
688,417,1536,25
689,1531,370,64
690,1171,85,48
691,299,761,48
692,260,573,9
693,712,1298,21
694,1875,314,97
695,768,14,88
696,791,655,47
697,545,16,26
698,172,1530,58
699,1061,1916,23
700,233,1976,61
701,1970,311,83
702,1282,1482,79
703,1363,128,31
704,373,210,96
705,1023,1322,78
706,1737,61,57
707,1297,1197,9
708,877,104,94
709,1128,1975,28
710,522,1140,11
711,1250,1846,75
712,1867,893,45
713,1623,1532,42
714,1355,404,97
715,570,977,60
716,953,1231,66
717,796,86,6
718,1949,1618,16
719,365,1093,22
720,576,1764,56
721,176,1597,74
722,488,74,48
723,306,810,58
724,1230,752,8
725,100,284,58
726,754,406,88
727,1617,781,55
728,931,1490,36
729,817,110,9
730,172,556,17
731,1660,1500,29
732,112,992,34
733,136,813,83
734,1838,225,81
735,1370,23,5
736,1943,1709,38
737,451,108,61
738,1606,469,77
739,235,588,16
740,1417,373,81
741,952,1916,39
742,1878,1213,25
743,507,1246,38
744,1809,917,59
745,1033,1692,69
746,1738,598,89
747,1099,158,75
748,987,458,68
749,1262,327,92
750,274,1814,16
751,1809,291,6
752,1272,272,78
753,905,1891,40
754,32,1933,79
755,61,1586,87
756,1974,631,63
757,273,1665,76
758,533,146,58
759,1224,723,97
760,1535,1851,35
761,1707,576,88
762,1077,100,65
763,46,422,98
764,592,1046,73
765,125,265,50
766,1959,940,44
767,1302,34,17
768,1223,1320,49
769,683,627,56
770,1557,521,96
771,101,706,63
772,16,398,97
773,519,764,17
774,1029,350,36
775,274,1376,7
776,156,607,31
777,1014,1369,90
778,909,1132,49
779,1271,1553,97
780,1106,1670,54
781,150,1655,91
782,142,1245,90
783,1253,870,33
784,347,1962,41
785,1952,1456,72
786,747,1466,56
787,1045,1959,36
788,1424,1137,72
789,1659,51,65
790,242,1371,11
791,536,290,92
792,340,171,92
793,670,1838,61
794,394,422,49
795,1377,100,22
796,1546,619,26
797,423,749,27
798,115,1157,73
799,1723,300,20
800,740,717,69
801,676,1280,22
802,33,1041,57
803,406,710,20
804,1538,687,43
805,42,1748,34
806,1822,1270,46
807,610,395,11
808,1539,1261,85
809,653,203,55
810,666,164,44
811,1620,1631,66
812,1583,29,71
813,887,252,33
814,221,1320,96
815,1715,768,38
816,1178,1802,74
817,1956,1362,49
818,626,304,82
819,1283,1499,83
820,1723,1683,64
821,1181,167,66
822,1957,1910,84
823,653,235,62
824,1379,1243,8
825,649,1020,59
826,703,56,12
827,676,874,21
828,1088,413,42
829,759,1398,38
830,1352,632,57
831,1625,810,60
832,1449,1717,16
833,43,1499,69
834,319,1506,32
835,343,1998,50
836,810,1166,71
837,1500,1300,5
838,105,519,18
839,1851,411,28
840,1265,826,20
841,1187,938,58
842,815,698,54
843,1128,505,59
844,190,1527,55
845,735,485,15
846,1637,1529,39
847,1081,1203,41
848,245,911,91
849,376,414,49
850,1466,503,10
851,1081,1051,5
852,899,462,81
853,684,579,44
854,460,1784,77
855,333,1054,17
856,185,115,5
857,1752,700,16
858,1119,862,50
859,183,52,86
860,397,851,55
861,774,672,54
862,1170,737,13
863,669,817,8
864,1936,1447,72
865,792,1677,5
866,1026,1092,23
867,643,61,22
868,1698,1359,85
869,430,1044,96
870,519,804,26
871,1897,101,43
872,1756,342,25
873,1186,603,74
874,1472,989,30
875,1686,838,58
876,1135,284,5
877,1218,46,32
878,752,25,93
879,1266,723,91
880,920,1144,50
881,1362,1932,79
882,79,1670,10
883,1539,1367,15
884,973,222,13
885,281,836,68
886,176,867,90
887,435,751,26
888,9,685,71
889,933,471,78
890,369,1177,41
891,343,1392,96
892,1469,1559,70
893,256,1120,44
894,795,1481,53
895,659,234,61
896,1261,724,92
897,1013,1552,39
898,946,568,5
899,300,1496,32
900,422,363,30
901,1644,580,98
902,97,582,34
903,1343,863,18
904,823,1270,94
905,1582,272,34
906,262,1462,29
907,239,1620,70
908,44,75,16
909,1002,274,22
910,990,1863,21
911,127,1606,83
912,1429,195,37
913,852,196,25
914,1536,404,72
915,1856,1036,81
916,949,1911,38
917,1805,901,56
918,749,471,10
919,1136,1350,68
920,651,1235,15
921,1392,301,68
922,1732,680,14
923,974,262,23
924,1154,603,78
925,1950,1094,82
926,825,1261,91
927,1359,1308,26
928,385,539,78
929,73,1751,30
930,1415,1475,58
931,1225,734,99
932,1762,832,46
933,1861,690,93
934,1271,750,96
935,1430,1339,24
936,19,871,19
937,884,1521,50
938,193,109,98
939,1504,1620,80
940,1085,658,6
941,189,847,84
942,1787,1940,20
943,1863,303,96
944,727,1851,56
945,1827,1907,7
946,547,573,63
947,394,302,20
948,724,641,54
949,1242,1109,91
950,1777,1420,89
951,587,1625,22
952,951,1658,73
953,200,695,46
954,295,847,69
955,200,956,13
956,25,1590,94
957,600,1377,56
958,1300,1238,18
959,1733,1796,89
960,1511,217,31
961,101,853,98
962,1250,362,7
963,1213,1886,89
964,1287,1069,75
965,200,557,13
966,1255,1716,43
967,928,195,13
968,362,1240,57
969,1848,1899,97
970,60,443,6
971,845,121,8
972,1985,1717,34
973,1985,42,17
974,1150,984,74
975,400,1586,39
976,886,243,31
977,63,638,52
978,1081,407,42
979,746,1349,28
980,479,881,50
981,189,45,83
982,145,1759,21
983,510,1479,93
984,870,767,63
985,1808,1375,73
986,1127,1284,54
987,1331,1543,86
988,1989,774,95
989,1182,206,75
990,809,1587,76
991,783,1389,33
992,805,239,42
993,1184,1577,20
994,935,1673,79
995,785,1244,93
996,1580,311,43
997,1138,1246,43
998,336,1236,60
999,149,1232,86
1000,858,1155,62
1001,538,1089,91
1002,1881,1917,97
1003,1942,1893,82
1004,511,1642,37
1005,452,231,90
1006,310,147,90
1007,574,1460,79
1008,1507,803,75
1009,1050,775,39
1010,1292,288,79
1011,959,101,82
1012,1835,293,97
1013,903,644,29
1014,634,1627,16
1015,296,770,50
1016,512,1666,42
1017,966,451,69
1018,1432,1088,59
1019,451,827,42
1020,1427,788,83
1021,1928,664,77
1022,1677,1785,94
1023,115,890,9
1024,1852,945,60
1025,1011,1548,38
1026,880,284,42
1027,1052,919,73
1028,419,1788,84
1029,1047,187,90
1030,405,644,5
1031,90,437,95
1032,253,1527,46
1033,1789,324,16
1034,287,678,30
1035,609,1458,74
1036,938,301,37
1037,548,667,85
1038,460,1224,39
1039,12,1848,62
1040,484,803,31
1041,395,291,17
1042,471,1549,20
1043,1006,39,60
1044,1765,1293,60
1045,1978,373,96
1046,545,927,52
1047,208,45,81
1048,1873,559,60
1049,208,1508,48
1050,52,1512,71
1051,478,183,75
1052,854,1825,31
1053,1340,1010,53
1054,121,1512,61
1055,1447,1646,94
1056,505,857,41
1057,1278,80,31
1058,591,1255,28
1059,741,203,42
1060,1332,297,75
1061,547,272,86
1062,1765,1678,56
1063,438,904,62
1064,1311,943,42
1065,1071,1015,93
1066,260,1715,90
1067,1823,1733,61
1068,789,352,71
1069,1895,1303,44
1070,246,735,49
1071,480,1588,28
1072,1738,1189,39
1073,82,218,45
1074,1573,1329,96
1075,1631,383,53
1076,1963,746,92
1077,966,1305,82
1078,228,254,32
1079,160,1047,40
1080,630,887,30
1081,55,647,55
1082,1398,1787,40
1083,342,1485,23
1084,1544,519,98
1085,262,1419,19
1086,1280,1476,78
1087,1278,1763,51
1088,1619,1149,47
1089,986,268,23
1090,1115,420,40
1091,527,363,16
1092,79,1695,16
1093,90,1746,26
1094,1049,1874,15
1095,1487,767,70
1096,580,770,10
1097,238,862,80
1098,1390,162,35
1099,720,1674,15
1100,37,1546,81
1101,1463,455,94
1102,57,632,51
1103,1044,256,12
1104,1972,1416,60
1105,1559,309,46
1106,1419,485,12
1107,1389,435,5
1108,748,1707,18
1109,336,806,53
1110,692,392,94
1111,243,1561,56
1112,692,237,57
1113,822,790,75
1114,1040,753,35
1115,960,868,74
1116,686,1055,62
1117,926,973,9
1118,1518,1325,8
1119,384,1703,69
1120,1704,430,54
1121,1908,422,23
1122,650,99,30
1123,437,545,71
1124,1419,861,7
1125,1666,179,95
1126,951,1062,26
1127,1098,120,66
1128,157,875,95
1129,891,745,54
1130,1028,1983,44
1131,188,458,86
1132,1251,1079,82
1133,964,1898,33
1134,1301,706,82
1135,25,1239,10
1136,876,22,75
1137,1353,310,75
1138,532,181,67
1139,3,86,24
1140,1843,1952,16
1141,1309,1845,66
1142,947,846,71
1143,410,1880,12
1144,1200,1496,94
1145,900,869,82
1146,1602,1084,34
1147,1818,1249,42
1148,195,611,27
1149,503,1114,7
1150,954,593,9
1151,727,1330,27
1152,352,355,39
1153,520,449,37
1154,74,316,69
1155,1834,1100,99
1156,693,1469,64
1157,1910,1761,55
1158,83,1193,86
1159,1006,1877,22
1160,213,1958,59
1161,1881,1951,10
1162,705,1188,91
1163,1560,327,50
1164,1775,22,42
1165,1854,916,53
1166,349,685,22
1167,1835,40,37
1168,1353,682,69
1169,694,1425,54
1170,944,1589,57
1171,788,606,36
1172,1501,1514,55
1173,783,721,64
1174,108,778,79
1175,1497,784,72
1176,802,1715,12
1177,1696,1975,42
1178,4,1661,18
1179,487,1552,19
1180,834,1274,93
1181,1522,3,73
1182,1233,1821,71
1183,1552,1552,57
1184,864,1006,25
1185,1163,506,54
1186,1682,1291,71
1187,1172,1631,35
1188,300,1583,53
1189,315,538,87
1190,1108,304,14
1191,76,1787,38
1192,166,712,55
1193,1175,686,95
1194,1468,1624,86
1195,1708,1392,92
1196,994,1466,21
1197,1342,1667,19
1198,534,1750,59
1199,488,994,76
1200,558,264,83
1201,1431,222,43
1202,1409,598,41
1203,25,1833,56
1204,1945,457,26
1205,879,1043,32
1206,1753,1038,96
1207,527,850,36
1208,792,1955,71
1209,1123,1423,87
1210,455,1039,91
1211,37,693,69
1212,679,1339,36
1213,1266,361,5
1214,954,748,46
1215,133,37,89
1216,827,771,70
1217,559,673,84
1218,400,950,78
1219,898,1838,28
1220,966,1340,90
1221,998,1576,47
1222,1709,1883,18
1223,1779,36,45
1224,114,37,92
1225,1103,1986,34
1226,1146,1866,94
1227,1867,1656,37
1228,412,34,49
1229,554,1975,15
1230,1134,1033,88
1231,1716,1292,67
1232,667,1411,55
1233,1033,3,48
1234,575,125,47
1235,114,1876,54
1236,1568,719,47
1237,294,799,57
1238,1169,503,52
1239,1541,673,40
1240,1696,248,12
1241,26,1666,16
1242,252,512,90
1243,1474,1964,71
1244,1100,1303,62
1245,163,1170,69
1246,1297,401,10
1247,1359,456,14
1248,1639,1592,54
1249,433,1039,95
1250,368,148,82
1251,1728,1734,75
1252,238,726,48
1253,393,1221,49
1254,972,79,75
1255,1156,1341,63
1256,173,1146,62
1257,605,1400,61
1258,1727,1077,14
1259,1780,292,10
1260,1718,232,5
1261,1329,632,60
1262,1956,267,74
1263,543,306,95
1264,584,1219,21
1265,44,1199,93
1266,1721,1011,94
1267,428,462,53
1268,1748,1658,54
1269,257,143,97
1270,1302,671,73
1271,1230,1802,67
1272,1196,19,29
1273,477,864,47
1274,1853,594,72
1275,1288,198,58
1276,1029,1769,88
1277,1486,152,19
1278,1057,374,38
1279,381,1803,93
1280,1948,127,42
1281,1557,1421,25
1282,1900,202,67
1283,1944,1787,57
1284,164,1506,54
1285,655,169,46
1286,1904,870,35
1287,589,1026,69
1288,1723,535,76
1289,1914,1059,78
1290,586,271,80
1291,1174,1074,92
1292,32,607,49
1293,864,1510,50
1294,256,409,65
1295,1141,1885,5
1296,352,1753,86
1297,1283,1290,33
1298,1129,1844,92
1299,1629,647,21
1300,1797,1940,19
1301,1723,1690,65
1302,1323,778,96
1303,1263,556,52
1304,1291,1478,76
1305,1143,1169,24
1306,577,1635,25
1307,1301,1182,5
1308,480,384,27
1309,1245,787,14
1310,630,553,46
1311,714,944,32
1312,58,554,33
1313,1320,811,9
1314,42,1924,76
1315,1702,25,53
1316,1020,42,59
1317,1624,668,27
1318,340,294,26
1319,1364,1471,64
1320,1899,1706,44
1321,1053,761,35
1322,949,806,61
1323,1492,1914,56
1324,1719,1318,72
1325,1205,1729,53
1326,1958,700,82
1327,41,1319,27
1328,393,554,80
1329,290,680,30
1330,607,1446,71
1331,700,1277,18
1332,1592,1106,40
1333,448,1978,30
1334,804,374,74
1335,174,493,97
1336,224,1298,91
1337,1185,476,44
1338,692,987,45
1339,1333,88,25
1340,1946,401,12
1341,1637,1678,75
1342,362,1371,88
1343,730,345,77
1344,637,580,51
1345,1205,1059,84
1346,1217,1045,79
1347,746,1002,41
1348,841,1896,50
1349,1090,583,83
1350,468,1409,82
1351,1979,970,48
1352,1659,1554,42
1353,1299,115,37
1354,1049,1206,46
1355,803,1360,23
1356,1880,222,74
1357,682,1002,50
1358,1811,164,70
1359,444,56,50
1360,576,34,25
1361,94,1154,75
1362,1963,1360,48
1363,478,1652,44
1364,1172,1384,71
1365,853,61,87
1366,552,1516,96
1367,1070,1579,37
1368,691,1396,48
1369,343,997,97
1370,781,40,93
1371,1160,233,84
1372,1719,1545,31
1373,190,1255,86
1374,764,702,62
1375,1986,271,71
1376,182,710,52
1377,897,1466,35
1378,808,113,11
1379,376,1447,10
1380,209,713,49
1381,552,1945,8
1382,508,332,11
1383,1682,2,50
1384,812,1167,71
1385,1493,1266,93
1386,1469,1784,29
1387,1207,499,46
1388,875,1748,10
1389,1344,366,90
1390,1884,30,28
1391,408,537,74
1392,1706,137,79
1393,1430,446,97
1394,351,1940,35
1395,1418,1148,75
1396,1977,1433,63
1397,1859,1601,25
1398,1330,1369,45
1399,164,257,42
1400,1196,1598,24
1401,1209,845,33
1402,443,429,43
1403,787,1488,56
1404,929,1407,16
1405,1025,377,43
1406,920,169,8
1407,1911,1304,42
1408,26,1766,40
1409,460,46,45
1410,95,1934,70
1411,1121,1449,94
1412,1068,1688,63
1413,1120,1888,8
1414,733,1425,49
1415,362,1026,7
1416,1142,1577,26
1417,1570,467,82
1418,730,768,83
1419,1948,788,9
1420,123,319,63
1421,1181,220,78
1422,1119,927,65
1423,1606,196,12
1424,219,610,23
1425,128,1463,49
1426,267,539,94
1427,1855,1590,23
1428,1148,591,76
1429,1776,348,24
1430,1025,1881,20
1431,16,1085,70
1432,1617,1959,49
1433,855,1435,33
1434,746,1897,64
1435,544,977,64
1436,1337,925,34
1437,282,1576,53
1438,432,1062,5
1439,882,370,62
1440,904,909,92
1441,441,705,14
1442,893,1858,34
1443,1487,1598,77
1444,851,1666,89
1445,1893,129,50
1446,436,1288,58
1447,1781,1519,16
1448,694,719,76
1449,1396,449,7
1450,931,487,82
1451,750,822,93
1452,824,544,16
1453,1614,1323,89
1454,886,1117,48
1455,1275,1599,13
1456,59,1779,39
1457,258,1134,47
1458,1060,621,96
1459,1771,1072,7
1460,1017,947,84
1461,1565,782,62
1462,1727,990,88
1463,1870,45,34
1464,943,869,76
1465,962,267,26
1466,1441,1860,51
1467,1304,1588,6
1468,1373,782,90
1469,610,1676,30
1470,1710,908,71
1471,327,1402,6
1472,1948,1646,23
1473,988,1782,97
1474,381,71,62
1475,1827,1510,8
1476,1810,844,42
1477,1425,750,75
1478,1122,1187,31
1479,1277,680,79
1480,1806,321,13
1481,1969,1284,29
1482,721,62,11
1483,534,240,80
1484,1253,1480,82
1485,1770,1923,19
1486,1747,1825,94
1487,1951,98,35
1488,889,536,5
1489,448,205,84
1490,1792,1913,14
1491,1215,1501,93
1492,787,360,73
1493,108,228,43
1494,1390,506,22
1495,274,296,36
1496,390,1984,40
1497,1798,740,19
1498,1295,1565,97
1499,1008,1219,55
1500,1690,1243,59
1501,1978,466,23
